"Employment Income Statistics in 2010 (7), Sex (3), Work Activity in 2010 (3), Highest Certificate, Diploma or Degree (6) and Occupation - National Occupational Classification (NOC) 2011 (693) for the Population Aged 15 Years and Over in Private Households of Canada, Provinces and Territories, 2011 National Household Survey"
"Geography = Canada [1]"
"Global non-response rate (GNR) [2] =  26.1 %"
"Sex (3) =   Female"
"Work activity in 2010 (3) = Total - Work activity in 2010"
"Highest certificate, diploma or degree (6) = Total - Highest certificate, diploma or degree [3]"
"Occupation - National Occupational Classification (NOC) 2011 (693)","Total - Employment income statistics in 2010 [4]","  With employment income","    Median employment income [5]","    Average employment income [6]","  With wages and salaries","    Median wages and salaries [7]","    Average wages and salaries [8]", 
"          1526 Transportation route and crew schedulers",2935,2820,40923,42572,2770,41440,42863 
"    2 Natural and applied sciences and related occupations",288455,274685,50924,53589,265325,51745,54273 
"      21 Professional occupations in natural and applied sciences",160365,152695,60005,61532,146925,60487,62374 
"        211 Physical science professionals",11345,10805,57435,63221,10490,57391,63462 
"          2111 Physicists and astronomers",515,500,79368,81707,475,79037,79902 
"          2112 Chemists",6805,6505,52803,55901,6430,52932,56226 
"          2113 Geoscientists and oceanographers",3220,3050,67725,75928,2850,69334,77488 
"          2114 Meteorologists and climatologists",430,420,62108,61459,410,62098,61165 
"          2115 Other professional occupations in physical sciences",365,335,64677,64202,325,63887,62651 
"        212 Life science professionals",15135,14585,50370,51089,14130,50674,51415 
"          2121 Biologists and related scientists",11860,11410,51921,52736,11120,52259,53056 
"          2122 Forestry professionals",945,915,51723,48713,860,52242,49129 
"          2123 Agricultural representatives, consultants and specialists",2335,2265,43167,43745,2160,42407,43866 
"        213 Civil, mechanical, electrical and chemical engineers",21130,20150,65074,68145,19750,65547,68349 
"          2131 Civil engineers",8345,7970,61912,64851,7815,62142,65045 
"          2132 Mechanical engineers",4570,4320,64685,67083,4225,64550,67066 
"          2133 Electrical and electronics engineers",5170,4960,70838,70623,4830,71286,71154 
"          2134 Chemical engineers",3050,2905,70055,74526,2875,70029,74495 
"        214 Other engineers",10940,10230,64171,69943,10035,64454,70187 
"          2141 Industrial and manufacturing engineers",2910,2720,53153,55210,2670,53157,55504 
"          2142 Metallurgical and materials engineers",375,350,64938,70789,335,65675,71126 
"          2143 Mining engineers",495,485,83446,93585,450,84547,93945 
"          2144 Geological engineers",405,395,69853,69109,385,67953,68107 
"          2145 Petroleum engineers",1525,1405,95283,107580,1405,95079,107103 
"          2146 Aerospace engineers",775,715,63631,63918,710,63551,63487 
"          2147 Computer engineers (except software engineers and designers)",3450,3215,68627,67485,3165,69191,67994 
"          2148 Other professional engineers, n.e.c.",1005,945,54177,57174,910,54979,57938 
"        215 Architects, urban planners and land surveyors",11115,10585,52477,54214,10000,52841,54907 
"          2151 Architects",4815,4545,47862,51195,4145,49118,51495 
"          2152 Landscape architects",755,705,42213,45147,655,43226,46209 
"          2153 Urban and land use planners",4920,4760,60223,59993,4645,60749,60462 
"          2154 Land surveyors",630,580,40831,41444,555,41305,44175 
"        216 Mathematicians, statisticians and actuaries",5800,5595,61830,70806,5450,62320,71889 
"          2161 Mathematicians, statisticians and actuaries",5800,5595,61830,70806,5450,62320,71889 
"        217 Computer and information systems professionals",84895,80745,61291,60794,77055,62623,61983 
"          2171 Information systems analysts and consultants",44545,42665,66276,66301,41335,66708,66806 
"          2172 Database analysts and data administrators",5715,5505,53529,55498,5350,54012,56040 
"          2173 Software engineers and designers",6875,6545,70850,70258,6410,71623,70979 
"          2174 Computer programmers and interactive media developers",19230,18280,60019,57329,17540,60585,58255 
"          2175 Web designers and developers",8535,7750,29964,34412,6420,35265,37088 
"      22 Technical occupations related to natural and applied sciences",128090,121985,41388,43646,118405,42082,44221 
"        221 Technical occupations in physical sciences",17645,16750,40008,43861,16600,40068,43994 
"          2211 Chemical technologists and technicians",14200,13440,39279,41472,13350,39351,41624 
"          2212 Geological and mineral technologists and technicians",3450,3305,46863,53571,3245,47686,53743 
"        222 Technical occupations in life sciences",19430,18525,28957,33239,17480,30026,34078 
