"Employment Income Statistics in 2010 (7), Sex (3), Work Activity in 2010 (3), Highest Certificate, Diploma or Degree (6) and Occupation - National Occupational Classification (NOC) 2011 (693) for the Population Aged 15 Years and Over in Private Households of Canada, Provinces and Territories, 2011 National Household Survey"
"Geography = Canada [1]"
"Global non-response rate (GNR) [2] =  26.1 %"
"Sex (3) =   Male"
"Work activity in 2010 (3) = Total - Work activity in 2010"
"Highest certificate, diploma or degree (6) = Total - Highest certificate, diploma or degree [3]"
"Occupation - National Occupational Classification (NOC) 2011 (693)","Total - Employment income statistics in 2010 [4]","  With employment income","    Median employment income [5]","    Average employment income [6]","  With wages and salaries","    Median wages and salaries [7]","    Average wages and salaries [8]", 
"          1435 Collectors",5335,5085,34476,35564,5005,34833,35871 
"        145 Library, correspondence and other clerks",27225,22465,18104,28310,21625,18555,28684 
"          1451 Library assistants and clerks",3290,3080,15143,21288,3065,14775,21314 
"          1452 Correspondence, publication and regulatory clerks",7345,6890,41885,45662,6610,42461,46249 
"          1454 Survey interviewers and statistical clerks",16595,12495,11180,20474,11950,11438,20855 
"      15 Distribution, tracking and scheduling co-ordination occupations",257135,240690,35361,36875,232945,35930,37357 
"        151 Mail and message distribution occupations",61790,56715,37168,35847,51445,40483,37387 
"          1511 Mail, postal and related workers",16125,15200,38818,37998,14975,39225,38203 
"          1512 Letter carriers",21020,20095,55221,48722,19530,55399,49553 
"          1513 Couriers, messengers and door-to-door distributors",24645,21420,14859,22243,16940,14221,22642 
"        152 Supply chain logistics, tracking and scheduling co-ordination occupations",195340,183975,35050,37192,181495,35209,37348 
"          1521 Shippers and receivers",102470,96305,31250,32055,95485,31359,32090 
"          1522 Storekeepers and partspersons",41435,39180,37542,38944,38605,37786,39256 
"          1523 Production logistics co-ordinators",11225,10760,53765,58822,10615,54056,59172 
"          1524 Purchasing and inventory control workers",18240,17015,34643,36273,16670,34805,36380 
"          1525 Dispatchers",19275,18175,44912,46402,17625,45543,47110 
"          1526 Transportation route and crew schedulers",2695,2540,49453,53560,2500,49437,53689 
"    2 Natural and applied sciences and related occupations",1018135,966050,60938,67605,920295,62147,68762 
"      21 Professional occupations in natural and applied sciences",552235,523215,70029,77647,495750,71326,79002 
"        211 Physical science professionals",26675,25200,75171,103224,23850,75989,104776 
"          2111 Physicists and astronomers",2715,2590,76324,82633,2450,78418,84278 
"          2112 Chemists",9945,9390,62259,69612,9140,62844,69911 
"          2113 Geoscientists and oceanographers",11185,10495,93087,145788,9625,95940,150925 
"          2114 Meteorologists and climatologists",1005,955,80704,76372,930,81460,77781 
"          2115 Other professional occupations in physical sciences",1835,1765,73218,73690,1700,73650,75285 
"        212 Life science professionals",20570,19740,64733,64393,18570,65732,65830 
"          2121 Biologists and related scientists",11415,10960,66276,67682,10580,67072,68073 
"          2122 Forestry professionals",4625,4415,66116,64269,4055,68961,66289 
"          2123 Agricultural representatives, consultants and specialists",4525,4360,56982,56253,3935,58922,59325 
"        213 Civil, mechanical, electrical and chemical engineers",142115,135180,77302,86388,129720,78461,87692 
"          2131 Civil engineers",46185,43800,77507,86628,41985,78569,88088 
"          2132 Mechanical engineers",45905,43705,73270,81865,41970,74671,82934 
"          2133 Electrical and electronics engineers",40635,38900,80004,86671,37310,80966,87853 
"          2134 Chemical engineers",9385,8780,83885,106446,8450,86126,108653 
"        214 Other engineers",65690,62430,80397,95033,60620,81147,96072 
"          2141 Industrial and manufacturing engineers",14210,13580,72434,78333,13290,73040,78894 
"          2142 Metallurgical and materials engineers",2190,2085,79938,87583,2005,81609,89802 
"          2143 Mining engineers",3585,3320,97415,126705,3210,97196,126934 
"          2144 Geological engineers",2130,2075,84993,104407,2015,86155,105710 
"          2145 Petroleum engineers",8690,8235,116611,160423,7985,116251,162539 
"          2146 Aerospace engineers",5645,5370,75204,77562,5240,75586,77521 
"          2147 Computer engineers (except software engineers and designers)",23860,22730,79839,82981,22115,80225,83993 
"          2148 Other professional engineers, n.e.c.",5375,5045,71426,84502,4760,73760,86816 
"        215 Architects, urban planners and land surveyors",28775,27180,63685,73547,24270,64824,73264 
"          2151 Architects",11870,11125,62457,78428,9260,64881,78194 
"          2152 Landscape architects",1160,1095,58033,58720,865,68748,67612 
"          2153 Urban and land use planners",6745,6455,69212,72315,6120,69528,72596 
"          2154 Land surveyors",9000,8500,60393,70004,8025,60490,68693 
"        216 Mathematicians, statisticians and actuaries",6620,6400,76047,97025,6200,77454,99302 
