"Employment Income Statistics in 2010 (7), Sex (3), Work Activity in 2010 (3), Highest Certificate, Diploma or Degree (6) and Occupation - National Occupational Classification (NOC) 2011 (693) for the Population Aged 15 Years and Over in Private Households of Canada, Provinces and Territories, 2011 National Household Survey"
"Geography = Canada [1]"
"Global non-response rate (GNR) [2] =  26.1 %"
"Sex (3) = Total - Sex"
"Work activity in 2010 (3) = Total - Work activity in 2010"
"Highest certificate, diploma or degree (6) = Total - Highest certificate, diploma or degree [3]"
"Occupation - National Occupational Classification (NOC) 2011 (693)","Total - Employment income statistics in 2010 [4]","  With employment income","    Median employment income [5]","    Average employment income [6]","  With wages and salaries","    Median wages and salaries [7]","    Average wages and salaries [8]", 
"          3124 Allied primary health practitioners",5105,4930,74764,72524,4500,72260,69081 
"          3125 Other professional occupations in health diagnosing and treating",3995,3785,31264,39418,1575,22581,33385 
"        313 Pharmacists, dietitians and nutritionists",45365,43750,73645,79743,41745,72463,74432 
"          3131 Pharmacists",34680,33505,85892,89908,32305,84443,82359 
"          3132 Dietitians and nutritionists",10685,10250,46719,46510,9440,47713,47307 
"        314 Therapy and assessment professionals",56345,54395,51343,51046,49120,50743,49820 
"          3141 Audiologists and speech-language pathologists",9430,9185,60028,58065,8515,59902,56776 
"          3142 Physiotherapists",22240,21375,54004,54162,18545,53361,52242 
"          3143 Occupational therapists",14790,14435,54504,52750,13490,54091,51496 
"          3144 Other professional occupations in therapy and assessment",9885,9405,32248,34498,8570,33048,35027 
"      32 Technical occupations in health",325830,310220,37997,40620,287450,39387,41463 
"        321 Medical technologists and technicians (except dental health)",151540,145125,38222,41847,143815,38253,41429 
"          3211 Medical laboratory technologists",21280,20700,57431,55513,20505,57542,55660 
"          3212 Medical laboratory technicians and pathologists' assistants",26310,24955,39643,39686,24765,39664,39683 
"          3213 Animal health technologists and veterinary technicians",15105,14395,26094,26869,14190,26709,27106 
"          3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",10200,9925,57537,58518,9850,57447,58396 
"          3215 Medical radiation technologists",20855,20190,58844,61135,19970,58352,58206 
"          3216 Medical sonographers",4500,4360,63637,60544,4240,63822,60692 
"          3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",2895,2725,43897,44410,2690,43954,44394 
